year,frequent_word,site,count_of_frequent_word,url
2022,direitos humanos,jn,0,"https://arquivo.pt/textsearch?q=direitos humanos&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.jn.pt,jn.pt"
2023,direitos humanos,jn,0,"https://arquivo.pt/textsearch?q=direitos humanos&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.jn.pt,jn.pt"
2019,república centro-africana,jn,120,"https://arquivo.pt/textsearch?q=república centro-africana&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.jn.pt,jn.pt"
2020,república centro-africana,jn,106,"https://arquivo.pt/textsearch?q=república centro-africana&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.jn.pt,jn.pt"
2021,república centro-africana,jn,0,"https://arquivo.pt/textsearch?q=república centro-africana&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.jn.pt,jn.pt"
2022,república centro-africana,jn,0,"https://arquivo.pt/textsearch?q=república centro-africana&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.jn.pt,jn.pt"
2023,república centro-africana,jn,0,"https://arquivo.pt/textsearch?q=república centro-africana&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.jn.pt,jn.pt"
2019,ataque,jn,67707,"https://arquivo.pt/textsearch?q=ataque&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.jn.pt,jn.pt"
2020,ataque,jn,95205,"https://arquivo.pt/textsearch?q=ataque&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.jn.pt,jn.pt"
2021,ataque,jn,0,"https://arquivo.pt/textsearch?q=ataque&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.jn.pt,jn.pt"
2022,ataque,jn,0,"https://arquivo.pt/textsearch?q=ataque&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.jn.pt,jn.pt"
2023,ataque,jn,0,"https://arquivo.pt/textsearch?q=ataque&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.jn.pt,jn.pt"
2019,violência,jn,39086,"https://arquivo.pt/textsearch?q=violência&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.jn.pt,jn.pt"
2020,violência,jn,34504,"https://arquivo.pt/textsearch?q=violência&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.jn.pt,jn.pt"
2021,violência,jn,0,"https://arquivo.pt/textsearch?q=violência&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.jn.pt,jn.pt"
2022,violência,jn,0,"https://arquivo.pt/textsearch?q=violência&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.jn.pt,jn.pt"
2023,violência,jn,0,"https://arquivo.pt/textsearch?q=violência&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.jn.pt,jn.pt"
2019,condena ,jn,13684,"https://arquivo.pt/textsearch?q=condena &prettyPrint=false&from=20190101&to=20191231&siteSearch=www.jn.pt,jn.pt"
2020,condena ,jn,6410,"https://arquivo.pt/textsearch?q=condena &prettyPrint=false&from=20200101&to=20201231&siteSearch=www.jn.pt,jn.pt"
2021,condena ,jn,0,"https://arquivo.pt/textsearch?q=condena &prettyPrint=false&from=20210101&to=20211231&siteSearch=www.jn.pt,jn.pt"
2022,condena ,jn,0,"https://arquivo.pt/textsearch?q=condena &prettyPrint=false&from=20220101&to=20221231&siteSearch=www.jn.pt,jn.pt"
2023,condena ,jn,0,"https://arquivo.pt/textsearch?q=condena &prettyPrint=false&from=20230101&to=20231231&siteSearch=www.jn.pt,jn.pt"
2019,Ucrânia,jn,14838,"https://arquivo.pt/textsearch?q=Ucrânia&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.jn.pt,jn.pt"
2020,Ucrânia,jn,5462,"https://arquivo.pt/textsearch?q=Ucrânia&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.jn.pt,jn.pt"
2021,Ucrânia,jn,0,"https://arquivo.pt/textsearch?q=Ucrânia&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.jn.pt,jn.pt"
2022,Ucrânia,jn,0,"https://arquivo.pt/textsearch?q=Ucrânia&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.jn.pt,jn.pt"
2023,Ucrânia,jn,0,"https://arquivo.pt/textsearch?q=Ucrânia&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.jn.pt,jn.pt"
2019,crise,jn,33359,"https://arquivo.pt/textsearch?q=crise&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.jn.pt,jn.pt"
2020,crise,jn,37446,"https://arquivo.pt/textsearch?q=crise&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.jn.pt,jn.pt"
2021,crise,jn,0,"https://arquivo.pt/textsearch?q=crise&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.jn.pt,jn.pt"
2022,crise,jn,0,"https://arquivo.pt/textsearch?q=crise&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.jn.pt,jn.pt"
2023,crise,jn,0,"https://arquivo.pt/textsearch?q=crise&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.jn.pt,jn.pt"
2019,guerra,jn,30587,"https://arquivo.pt/textsearch?q=guerra&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.jn.pt,jn.pt"
2020,guerra,jn,27697,"https://arquivo.pt/textsearch?q=guerra&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.jn.pt,jn.pt"
2021,guerra,jn,0,"https://arquivo.pt/textsearch?q=guerra&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.jn.pt,jn.pt"
2022,guerra,jn,0,"https://arquivo.pt/textsearch?q=guerra&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.jn.pt,jn.pt"
2023,guerra,jn,0,"https://arquivo.pt/textsearch?q=guerra&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.jn.pt,jn.pt"
2019,Sudão do Sul,jn,170,"https://arquivo.pt/textsearch?q=Sudão do Sul&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.jn.pt,jn.pt"
2020,Sudão do Sul,jn,433,"https://arquivo.pt/textsearch?q=Sudão do Sul&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.jn.pt,jn.pt"
2021,Sudão do Sul,jn,0,"https://arquivo.pt/textsearch?q=Sudão do Sul&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.jn.pt,jn.pt"
2022,Sudão do Sul,jn,0,"https://arquivo.pt/textsearch?q=Sudão do Sul&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.jn.pt,jn.pt"
2023,Sudão do Sul,jn,0,"https://arquivo.pt/textsearch?q=Sudão do Sul&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.jn.pt,jn.pt"
